"Chiropractors","{""emoji"":{""char"":""🦴""}}"
"Nursing Homes and Residential Care Facilities","{""emoji"":{""char"":""🏥""}}"
"Financial Services","{""emoji"":{""char"":""💰""}}"
"Real Estate","{""emoji"":{""char"":""🏠""}}"
"Investment Banking","{""emoji"":{""char"":""🏦""}}"
"Investment Management","{""emoji"":{""char"":""📈""}}"
"Accounting","{""emoji"":{""char"":""🧾""}}"
"Construction","{""emoji"":{""char"":""🏗️""}}"
"Wholesale Building Materials","{""emoji"":{""char"":""🧱""}}"
"Architecture and Planning","{""emoji"":{""char"":""📐""}}"
"Civil Engineering","{""emoji"":{""char"":""🏗️""}}"
"Internet News","{""emoji"":{""char"":""📰""}}"
"Aviation and Aerospace Component Manufacturing","{""emoji"":{""char"":""✈️""}}"
"Blogs","{""emoji"":{""char"":""📝""}}"
"Motor Vehicle Manufacturing","{""emoji"":{""char"":""🚗""}}"
"Interior Design","{""emoji"":{""char"":""🛋️""}}"
"Chemical Manufacturing","{""emoji"":{""char"":""🧪""}}"
"Social Networking Platforms","{""emoji"":{""char"":""💬""}}"
"Machinery Manufacturing","{""emoji"":{""char"":""⚙️""}}"
"Household and Institutional Furniture Manufacturing","{""emoji"":{""char"":""🪑""}}"
"Business Intelligence Platforms","{""emoji"":{""char"":""📊""}}"
"Mining","{""emoji"":{""char"":""⛏️""}}"
"Business Content","{""emoji"":{""char"":""📰""}}"
"Oil and Gas","{""emoji"":{""char"":""🛢️""}}"
"Data Security Software Products","{""emoji"":{""char"":""🔒""}}"
"Shipbuilding","{""emoji"":{""char"":""🚢""}}"
"Utilities","{""emoji"":{""char"":""⚡""}}"
"Mobile Gaming Apps","{""emoji"":{""char"":""🎮""}}"
"Textile Manufacturing","{""emoji"":{""char"":""🧵""}}"
"Internet Publishing","{""emoji"":{""char"":""📰""}}"
"Paper and Forest Product Manufacturing","{""emoji"":{""char"":""📄""}}"
"Media and Telecommunications","{""emoji"":{""char"":""📡""}}"
"Railroad Equipment Manufacturing","{""emoji"":{""char"":""🚆""}}"
"Blockchain Services","{""emoji"":{""char"":""⛓️""}}"
"Farming","{""emoji"":{""char"":""🌾""}}"
"Services for the Elderly and Disabled","{""emoji"":{""char"":""🧓""}}"
"Ranching","{""emoji"":{""char"":""🐄""}}"
"Dairy Product Manufacturing","{""emoji"":{""char"":""🥛""}}"
"Office Furniture and Fixtures Manufacturing","{""emoji"":{""char"":""🪑""}}"
"Fisheries","{""emoji"":{""char"":""🎣""}}"
"Community Services","{""emoji"":{""char"":""🤝""}}"
"Primary and Secondary Education","{""emoji"":{""char"":""🏫""}}"
"Higher Education","{""emoji"":{""char"":""🎓""}}"
"Education Administration Programs","{""emoji"":{""char"":""📚""}}"
"Research Services","{""emoji"":{""char"":""🔬""}}"
"Mattress and Blinds Manufacturing","{""emoji"":{""char"":""🛏️""}}"
"Armed Forces","{""emoji"":{""char"":""🪖""}}"
"Legislative Offices","{""emoji"":{""char"":""🏛️""}}"
"Administration of Justice","{""emoji"":{""char"":""⚖️""}}"
"International Affairs","{""emoji"":{""char"":""🌍""}}"
"Emergency and Relief Services","{""emoji"":{""char"":""🚨""}}"
"Government Administration","{""emoji"":{""char"":""🏛️""}}"
"Executive Offices","{""emoji"":{""char"":""🏛️""}}"
"Law Enforcement","{""emoji"":{""char"":""👮""}}"
"Vocational Rehabilitation Services","{""emoji"":{""char"":""🦽""}}"
"Public Safety","{""emoji"":{""char"":""🚨""}}"
"Public Policy Offices","{""emoji"":{""char"":""🏛️""}}"
"Advertising Services","{""emoji"":{""char"":""📢""}}"
"Child Day Care Services","{""emoji"":{""char"":""👶""}}"
"Newspaper Publishing","{""emoji"":{""char"":""📰""}}"
"Performing Arts and Spectator Sports","{""emoji"":{""char"":""🎭""}}"
"Book and Periodical Publishing","{""emoji"":{""char"":""📚""}}"
"Printing Services","{""emoji"":{""char"":""🖨️""}}"
"Information Services","{""emoji"":{""char"":""ℹ️""}}"
"Libraries","{""emoji"":{""char"":""📚""}}"
"Theater Companies","{""emoji"":{""char"":""🎭""}}"
"Environmental Services","{""emoji"":{""char"":""♻️""}}"
"Freight and Package Transportation","{""emoji"":{""char"":""📦""}}"
"Dance Companies","{""emoji"":{""char"":""💃""}}"
"Individual and Family Services","{""emoji"":{""char"":""👨‍👩‍👧""}}"
"Religious Institutions","{""emoji"":{""char"":""⛪""}}"
"Civic and Social Organizations","{""emoji"":{""char"":""🤝""}}"
"Consumer Services","{""emoji"":{""char"":""🛍️""}}"
"Circuses and Magic Shows","{""emoji"":{""char"":""🎪""}}"
"Truck Transportation","{""emoji"":{""char"":""🚛""}}"
"Warehousing and Storage","{""emoji"":{""char"":""📦""}}"
"Sports Teams and Clubs","{""emoji"":{""char"":""🏆""}}"
"Airlines and Aviation","{""emoji"":{""char"":""✈️""}}"
"Maritime Transportation","{""emoji"":{""char"":""🚢""}}"
"Racetracks","{""emoji"":{""char"":""🏁""}}"
"IT Services and IT Consulting","{""emoji"":{""char"":""💻""}}"
"Market Research","{""emoji"":{""char"":""📊""}}"
"Public Relations and Communications Services","{""emoji"":{""char"":""📣""}}"
"Design Services","{""emoji"":{""char"":""✏️""}}"
"Non-profit Organizations","{""emoji"":{""char"":""🤲""}}"
"Fundraising","{""emoji"":{""char"":""💵""}}"
"Strategic Management Services","{""emoji"":{""char"":""📈""}}"
"Writing and Editing","{""emoji"":{""char"":""✍️""}}"
"Staffing and Recruiting","{""emoji"":{""char"":""👥""}}"
"Wholesale Motor Vehicles and Parts","{""emoji"":{""char"":""🚗""}}"
"Professional Training and Coaching","{""emoji"":{""char"":""🎓""}}"
"Venture Capital and Private Equity Principals","{""emoji"":{""char"":""💰""}}"
"Political Organizations","{""emoji"":{""char"":""🗳️""}}"
"Translation and Localization","{""emoji"":{""char"":""🔤""}}"
"Computer Games","{""emoji"":{""char"":""🎮""}}"
"Events Services","{""emoji"":{""char"":""🎉""}}"
"Retail Art Supplies","{""emoji"":{""char"":""🎨""}}"
"Museums","{""emoji"":{""char"":""🏛️""}}"
"Appliances, Electrical, and Electronics Manufacturing","{""emoji"":{""char"":""🔌""}}"
"Online Audio and Video Media","{""emoji"":{""char"":""📺""}}"
"Wholesale Furniture and Home Furnishings","{""emoji"":{""char"":""🪑""}}"
"Historical Sites","{""emoji"":{""char"":""🏛️""}}"
"Nanotechnology Research","{""emoji"":{""char"":""🔬""}}"
"Retail Art Dealers","{""emoji"":{""char"":""🖼️""}}"
"Musicians","{""emoji"":{""char"":""🎵""}}"
"Zoos and Botanical Gardens","{""emoji"":{""char"":""🦁""}}"
"Transportation, Logistics, Supply Chain and Storage","{""emoji"":{""char"":""🚛""}}"
"Plastics Manufacturing","{""emoji"":{""char"":""🧴""}}"
"Computer and Network Security","{""emoji"":{""char"":""🔒""}}"
"Wireless Services","{""emoji"":{""char"":""📶""}}"
"Amusement Parks and Arcades","{""emoji"":{""char"":""🎡""}}"
"Alternative Dispute Resolution","{""emoji"":{""char"":""🤝""}}"
"Security and Investigations","{""emoji"":{""char"":""🔍""}}"
"Facilities Services","{""emoji"":{""char"":""🏢""}}"
"Outsourcing and Offshoring Consulting","{""emoji"":{""char"":""🌐""}}"
"Wellness and Fitness Services","{""emoji"":{""char"":""🧘""}}"
"Alternative Medicine","{""emoji"":{""char"":""🌿""}}"
"Media Production","{""emoji"":{""char"":""🎬""}}"
"Animation and Post-production","{""emoji"":{""char"":""🎞️""}}"
"Leasing Non-residential Real Estate","{""emoji"":{""char"":""🏢""}}"
"Capital Markets","{""emoji"":{""char"":""📈""}}"
"Wholesale Photography Equipment and Supplies","{""emoji"":{""char"":""📷""}}"
"Think Tanks","{""emoji"":{""char"":""💡""}}"
"Philanthropic Fundraising Services","{""emoji"":{""char"":""🤲""}}"
"Golf Courses and Country Clubs","{""emoji"":{""char"":""⛳""}}"
"E-Learning Providers","{""emoji"":{""char"":""🎓""}}"
"Wholesale","{""emoji"":{""char"":""📦""}}"
"Wholesale Computer Equipment","{""emoji"":{""char"":""💻""}}"
"Skiing Facilities","{""emoji"":{""char"":""🎿""}}"
"Wholesale Import and Export","{""emoji"":{""char"":""🚢""}}"
"Industrial Machinery Manufacturing","{""emoji"":{""char"":""⚙️""}}"
"Photography","{""emoji"":{""char"":""📷""}}"
"Human Resources Services","{""emoji"":{""char"":""👥""}}"
"Retail Office Equipment","{""emoji"":{""char"":""🖨️""}}"
"Mental Health Care","{""emoji"":{""char"":""🧠""}}"
"Graphic Design","{""emoji"":{""char"":""🎨""}}"
"International Trade and Development","{""emoji"":{""char"":""🌍""}}"
"Beverage Manufacturing","{""emoji"":{""char"":""🥤""}}"
"Accommodation and Food Services","{""emoji"":{""char"":""🏨""}}"
"Wholesale Metals and Minerals","{""emoji"":{""char"":""⛏️""}}"
"Retail Luxury Goods and Jewelry","{""emoji"":{""char"":""💎""}}"
"Glass, Ceramics and Concrete Manufacturing","{""emoji"":{""char"":""🧱""}}"
"Packaging and Containers Manufacturing","{""emoji"":{""char"":""📦""}}"
"Hotels and Motels","{""emoji"":{""char"":""🏨""}}"
"Automation Machinery Manufacturing","{""emoji"":{""char"":""🤖""}}"
"Wholesale Appliances, Electrical, and Electronics","{""emoji"":{""char"":""🔌""}}"
"Government Relations Services","{""emoji"":{""char"":""🏛️""}}"
"Bed-and-Breakfasts, Hostels, Homestays","{""emoji"":{""char"":""🛏️""}}"
"Horticulture","{""emoji"":{""char"":""🌱""}}"
"Wholesale Hardware, Plumbing, Heating Equipment","{""emoji"":{""char"":""🔧""}}"
"Wholesale Machinery","{""emoji"":{""char"":""⚙️""}}"
"Caterers","{""emoji"":{""char"":""🍱""}}"
"Mobile Food Services","{""emoji"":{""char"":""🌮""}}"
"Renewable Energy Power Generation","{""emoji"":{""char"":""♻️""}}"
"Bars, Taverns, and Nightclubs","{""emoji"":{""char"":""🍻""}}"
"Renewable Energy Equipment Manufacturing","{""emoji"":{""char"":""🌞""}}"
"Engineering Services","{""emoji"":{""char"":""🛠️""}}"
"Services for Renewable Energy","{""emoji"":{""char"":""♻️""}}"
"Digital Accessibility Services","{""emoji"":{""char"":""♿""}}"
"Accessible Hardware Manufacturing","{""emoji"":{""char"":""♿""}}"
"Accessible Architecture and Design","{""emoji"":{""char"":""♿""}}"
"Robot Manufacturing","{""emoji"":{""char"":""🤖""}}"
"Robotics Engineering","{""emoji"":{""char"":""🤖""}}"
"Repair and Maintenance","{""emoji"":{""char"":""🔧""}}"
"Surveying and Mapping Services","{""emoji"":{""char"":""🗺️""}}"
"Vehicle Repair and Maintenance","{""emoji"":{""char"":""🔧""}}"
"Retail Pharmacies","{""emoji"":{""char"":""💊""}}"
"Climate Technology Product Manufacturing","{""emoji"":{""char"":""🌍""}}"
"Climate Data and Analytics","{""emoji"":{""char"":""🌡️""}}"
"Alternative Fuel Vehicle Manufacturing","{""emoji"":{""char"":""🚙""}}"
"Wholesale Recyclable Materials","{""emoji"":{""char"":""♻️""}}"
"Smart Meter Manufacturing","{""emoji"":{""char"":""📟""}}"
"Fuel Cell Manufacturing","{""emoji"":{""char"":""🔋""}}"
"Wholesale Luxury Goods and Jewelry","{""emoji"":{""char"":""💎""}}"
"Regenerative Design","{""emoji"":{""char"":""🌱""}}"
"Wholesale Paper Products","{""emoji"":{""char"":""📄""}}"
"Electronic and Precision Equipment Maintenance","{""emoji"":{""char"":""🔧""}}"
"Wholesale Drugs and Sundries","{""emoji"":{""char"":""💊""}}"
"Wholesale Apparel and Sewing Supplies","{""emoji"":{""char"":""👔""}}"
"Commercial and Industrial Machinery Maintenance","{""emoji"":{""char"":""🔧""}}"
"Farming, Ranching, Forestry","{""emoji"":{""char"":""🌾""}}"
"Reupholstery and Furniture Repair","{""emoji"":{""char"":""🪑""}}"
"Wholesale Footwear","{""emoji"":{""char"":""👟""}}"
"Wholesale Food and Beverage","{""emoji"":{""char"":""🍱""}}"
"Footwear and Leather Goods Repair","{""emoji"":{""char"":""👞""}}"
"Personal and Laundry Services","{""emoji"":{""char"":""🧺""}}"
"Personal Care Services","{""emoji"":{""char"":""💇""}}"
"Laundry and Drycleaning Services","{""emoji"":{""char"":""🧺""}}"
"Wholesale Raw Farm Products","{""emoji"":{""char"":""🌾""}}"
"Wholesale Chemical and Allied Products","{""emoji"":{""char"":""🧪""}}"
"Pet Services","{""emoji"":{""char"":""🐾""}}"
"Wholesale Petroleum and Petroleum Products","{""emoji"":{""char"":""🛢️""}}"
"Wholesale Alcoholic Beverages","{""emoji"":{""char"":""🍷""}}"
"Ranching and Fisheries","{""emoji"":{""char"":""🐄""}}"
"Internet Marketplace Platforms","{""emoji"":{""char"":""🛒""}}"
"Retail Motor Vehicles","{""emoji"":{""char"":""🚗""}}"
"Household Services","{""emoji"":{""char"":""🏠""}}"
"Retail Furniture and Home Furnishings","{""emoji"":{""char"":""🪑""}}"
"Retail Appliances, Electrical, and Electronic Equipment","{""emoji"":{""char"":""🔌""}}"
"Forestry and Logging","{""emoji"":{""char"":""🌲""}}"
"Retail Building Materials and Garden Equipment","{""emoji"":{""char"":""🏡""}}"
"Health and Human Services","{""emoji"":{""char"":""🏥""}}"
"Public Health","{""emoji"":{""char"":""🏥""}}"
"Public Assistance Programs","{""emoji"":{""char"":""🤝""}}"
"Food and Beverage Retail","{""emoji"":{""char"":""🛒""}}"
"Air, Water, and Waste Program Management","{""emoji"":{""char"":""♻️""}}"
"Conservation Programs","{""emoji"":{""char"":""🌳""}}"
"Housing and Community Development","{""emoji"":{""char"":""🏘️""}}"
"Community Development and Urban Planning","{""emoji"":{""char"":""🏙️""}}"
"Economic Programs","{""emoji"":{""char"":""💹""}}"
"Oil, Gas, and Mining","{""emoji"":{""char"":""🛢️""}}"
"Retail Health and Personal Care Products","{""emoji"":{""char"":""💊""}}"
"Coal Mining","{""emoji"":{""char"":""⛏️""}}"
"Military and International Affairs","{""emoji"":{""char"":""🪖""}}"
"Metal Ore Mining","{""emoji"":{""char"":""⛏️""}}"
"Retail Gasoline","{""emoji"":{""char"":""⛽""}}"
"Operations Consulting","{""emoji"":{""char"":""💼""}}"
"Nonmetallic Mineral Mining","{""emoji"":{""char"":""⛏️""}}"
"Electric Power Transmission, Control, and Distribution","{""emoji"":{""char"":""⚡""}}"
"Retail Musical Instruments","{""emoji"":{""char"":""🎸""}}"
"Electric Power Generation","{""emoji"":{""char"":""⚡""}}"
"Hydroelectric Power Generation","{""emoji"":{""char"":""💧""}}"
"Retail Books and Printed News","{""emoji"":{""char"":""📚""}}"
"Fossil Fuel Electric Power Generation","{""emoji"":{""char"":""⚡""}}"
"Nuclear Electric Power Generation","{""emoji"":{""char"":""☢️""}}"
"Solar Electric Power Generation","{""emoji"":{""char"":""☀️""}}"
"Environmental Quality Programs","{""emoji"":{""char"":""♻️""}}"
"Geothermal Electric Power Generation","{""emoji"":{""char"":""♨️""}}"
"Biomass Electric Power Generation","{""emoji"":{""char"":""🌿""}}"
"Natural Gas Distribution","{""emoji"":{""char"":""⛽""}}"
"Water, Waste, Steam, and Air Conditioning Services","{""emoji"":{""char"":""💧""}}"
"Retail Florists","{""emoji"":{""char"":""💐""}}"
"Retail Office Supplies and Gifts","{""emoji"":{""char"":""🎁""}}"
"Water Supply and Irrigation Systems","{""emoji"":{""char"":""💧""}}"
"Steam and Air-Conditioning Supply","{""emoji"":{""char"":""💨""}}"
"Building Construction","{""emoji"":{""char"":""🏗️""}}"
"Retail Recyclable Materials & Used Merchandise","{""emoji"":{""char"":""♻️""}}"
"Residential Building Construction","{""emoji"":{""char"":""🏠""}}"
"Data Infrastructure and Analytics","{""emoji"":{""char"":""📊""}}"
"Nonresidential Building Construction","{""emoji"":{""char"":""🏢""}}"
"Utility System Construction","{""emoji"":{""char"":""🏗️""}}"
"Electrical Equipment Manufacturing","{""emoji"":{""char"":""🔌""}}"
"Online and Mail Order Retail","{""emoji"":{""char"":""📦""}}"
"Subdivision of Land","{""emoji"":{""char"":""🗺️""}}"
"Highway, Street, and Bridge Construction","{""emoji"":{""char"":""🛣️""}}"
"Specialty Trade Contractors","{""emoji"":{""char"":""🔨""}}"
"Building Structure and Exterior Contractors","{""emoji"":{""char"":""🏗️""}}"
"Wind Electric Power Generation","{""emoji"":{""char"":""🌬️""}}"
"Wineries","{""emoji"":{""char"":""🍷""}}"
"Building Equipment Contractors","{""emoji"":{""char"":""🔧""}}"
"Rail Transportation","{""emoji"":{""char"":""🚆""}}"
"Building Finishing Contractors","{""emoji"":{""char"":""🏠""}}"
"Ground Passenger Transportation","{""emoji"":{""char"":""🚌""}}"
"Urban Transit Services","{""emoji"":{""char"":""🚇""}}"
"Interurban and Rural Bus Services","{""emoji"":{""char"":""🚌""}}"
"Taxi and Limousine Services","{""emoji"":{""char"":""🚕""}}"
"Animal Feed Manufacturing","{""emoji"":{""char"":""🌾""}}"
"School and Employee Bus Services","{""emoji"":{""char"":""🚌""}}"
"Shuttles and Special Needs Transportation Services","{""emoji"":{""char"":""🚐""}}"
"Sugar and Confectionery Product Manufacturing","{""emoji"":{""char"":""🍬""}}"
"Pipeline Transportation","{""emoji"":{""char"":""🛢️""}}"
"Fruit and Vegetable Preserves Manufacturing","{""emoji"":{""char"":""🥫""}}"
"Sightseeing Transportation","{""emoji"":{""char"":""🚌""}}"
"Meat Products Manufacturing","{""emoji"":{""char"":""🥩""}}"
"Seafood Product Manufacturing","{""emoji"":{""char"":""🐟""}}"
"Baked Goods Manufacturing","{""emoji"":{""char"":""🍞""}}"
"Postal Services","{""emoji"":{""char"":""📮""}}"
"Breweries","{""emoji"":{""char"":""🍺""}}"
"Distilleries","{""emoji"":{""char"":""🥃""}}"
"Technology, Information and Media","{""emoji"":{""char"":""📡""}}"
"Periodical Publishing","{""emoji"":{""char"":""📰""}}"
"Book Publishing","{""emoji"":{""char"":""📚""}}"
"Movies and Sound Recording","{""emoji"":{""char"":""🎬""}}"
"Apparel Manufacturing","{""emoji"":{""char"":""👔""}}"
"Sound Recording","{""emoji"":{""char"":""🎙️""}}"
"Sheet Music Publishing","{""emoji"":{""char"":""🎼""}}"
"Radio and Television Broadcasting","{""emoji"":{""char"":""📻""}}"
"Fashion Accessories Manufacturing","{""emoji"":{""char"":""👜""}}"
"Leather Product Manufacturing","{""emoji"":{""char"":""👜""}}"
"Cable and Satellite Programming","{""emoji"":{""char"":""📺""}}"
"Telecommunications Carriers","{""emoji"":{""char"":""📡""}}"
"Footwear Manufacturing","{""emoji"":{""char"":""👟""}}"
"Satellite Telecommunications","{""emoji"":{""char"":""🛰️""}}"
"Women's Handbag Manufacturing","{""emoji"":{""char"":""👜""}}"
"Credit Intermediation","{""emoji"":{""char"":""💳""}}"
"Savings Institutions","{""emoji"":{""char"":""🏦""}}"
"Loan Brokers","{""emoji"":{""char"":""💵""}}"
"Oil and Coal Product Manufacturing","{""emoji"":{""char"":""🛢️""}}"
"Securities and Commodity Exchanges","{""emoji"":{""char"":""📈""}}"
"Chemical Raw Materials Manufacturing","{""emoji"":{""char"":""🧪""}}"
"Investment Advice","{""emoji"":{""char"":""📈""}}"
"Insurance Carriers","{""emoji"":{""char"":""🛡️""}}"
"Artificial Rubber and Synthetic Fiber Manufacturing","{""emoji"":{""char"":""🧵""}}"
"Agricultural Chemical Manufacturing","{""emoji"":{""char"":""🧪""}}"
"Insurance Agencies and Brokerages","{""emoji"":{""char"":""🛡️""}}"
"Claims Adjusting, Actuarial Services","{""emoji"":{""char"":""📋""}}"
"Funds and Trusts","{""emoji"":{""char"":""💰""}}"
"Insurance and Employee Benefit Funds","{""emoji"":{""char"":""🛡️""}}"
"Pension Funds","{""emoji"":{""char"":""💰""}}"
"Paint, Coating, and Adhesive Manufacturing","{""emoji"":{""char"":""🎨""}}"
"Trusts and Estates","{""emoji"":{""char"":""🏛️""}}"
"Soap and Cleaning Product Manufacturing","{""emoji"":{""char"":""🧼""}}"
"Real Estate and Equipment Rental Services","{""emoji"":{""char"":""🏠""}}"
"Leasing Residential Real Estate","{""emoji"":{""char"":""🔑""}}"
"Plastics and Rubber Product Manufacturing","{""emoji"":{""char"":""🧴""}}"
"Real Estate Agents and Brokers","{""emoji"":{""char"":""🏠""}}"
"Equipment Rental Services","{""emoji"":{""char"":""🔧""}}"
"Consumer Goods Rental","{""emoji"":{""char"":""🛍️""}}"
"Rubber Products Manufacturing","{""emoji"":{""char"":""🛞""}}"
"Clay and Refractory Products Manufacturing","{""emoji"":{""char"":""🧱""}}"
"Commercial and Industrial Equipment Rental","{""emoji"":{""char"":""⚙️""}}"
"Glass Product Manufacturing","{""emoji"":{""char"":""🪟""}}"
"Wood Product Manufacturing","{""emoji"":{""char"":""🪵""}}"
"Professional Services","{""emoji"":{""char"":""💼""}}"
"Lime and Gypsum Products Manufacturing","{""emoji"":{""char"":""🧱""}}"
"Abrasives and Nonmetallic Minerals Manufacturing","{""emoji"":{""char"":""🪨""}}"
"Primary Metal Manufacturing","{""emoji"":{""char"":""🔩""}}"
"IT System Design Services","{""emoji"":{""char"":""💻""}}"
"Marketing Services","{""emoji"":{""char"":""📢""}}"
"Fabricated Metal Products","{""emoji"":{""char"":""🔩""}}"
"Cutlery and Handtool Manufacturing","{""emoji"":{""char"":""🔪""}}"
"Architectural and Structural Metal Manufacturing","{""emoji"":{""char"":""🏗️""}}"
"Boilers, Tanks, and Shipping Container Manufacturing","{""emoji"":{""char"":""🛢️""}}"
"Construction Hardware Manufacturing","{""emoji"":{""char"":""🔩""}}"
"Spring and Wire Product Manufacturing","{""emoji"":{""char"":""🔩""}}"
"Turned Products and Fastener Manufacturing","{""emoji"":{""char"":""🔩""}}"
"Holding Companies","{""emoji"":{""char"":""🏢""}}"
"Metal Treatments","{""emoji"":{""char"":""🔧""}}"
"Industry Associations","{""emoji"":{""char"":""🤝""}}"
"Landscaping Services","{""emoji"":{""char"":""🌳""}}"
"Professional Organizations","{""emoji"":{""char"":""🏛️""}}"
"Metal Valve, Ball, and Roller Manufacturing","{""emoji"":{""char"":""⚙️""}}"
"Administrative and Support Services","{""emoji"":{""char"":""📋""}}"
"Office Administration","{""emoji"":{""char"":""📋""}}"
"Executive Search Services","{""emoji"":{""char"":""🔍""}}"
"Temporary Help Services","{""emoji"":{""char"":""👥""}}"
"Agriculture","{""emoji"":{""char"":""🐄""}}"
"Construction","{""emoji"":{""char"":""🚧""}}"
"Mining Machinery Manufacturing","{""emoji"":{""char"":""🚜""}}"
"Telephone Call Centers","{""emoji"":{""char"":""📞""}}"
"Collection Agencies","{""emoji"":{""char"":""💵""}}"
"Commercial and Service Industry Machinery Manufacturing","{""emoji"":{""char"":""⚙️""}}"
"HVAC and Refrigeration Equipment Manufacturing","{""emoji"":{""char"":""❄️""}}"
"Metalworking Machinery Manufacturing","{""emoji"":{""char"":""⚙️""}}"
"Security Guards and Patrol Services","{""emoji"":{""char"":""🛡️""}}"
"Security Systems Services","{""emoji"":{""char"":""🔐""}}"
"Engines and Power Transmission Equipment Manufacturing","{""emoji"":{""char"":""⚙️""}}"
"Janitorial Services","{""emoji"":{""char"":""🧹""}}"
"Waste Collection","{""emoji"":{""char"":""🗑️""}}"
"Waste Treatment and Disposal","{""emoji"":{""char"":""🗑️""}}"
"Communications Equipment Manufacturing","{""emoji"":{""char"":""📡""}}"
"Audio and Video Equipment Manufacturing","{""emoji"":{""char"":""🎙️""}}"
"Education","{""emoji"":{""char"":""🎓""}}"
"Measuring and Control Instrument Manufacturing","{""emoji"":{""char"":""📏""}}"
